Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,10,Banker,Loss,490.0,1
2,Banker,20,Banker,Win,509.0,2
3,Player,10,Player,Win,519.0,1
4,Player,10,Player,Win,529.0,1
5,Player,10,Player,Win,539.0,1
6,Player,10,Player,Win,549.0,1
7,Player,10,Banker,Loss,539.0,1
8,Banker,20,Banker,Win,558.0,2
9,Player,10,Player,Win,568.0,1
10,Player,10,Player,Win,578.0,1
11,Player,10,Player,Win,588.0,1
12,Player,10,Banker,Loss,578.0,1
13,Banker,20,Banker,Win,597.0,2
14,Player,10,Player,Win,607.0,1
15,Player,10,Banker,Loss,597.0,1
16,Banker,20,Tie,Push,597.0,2
17,Banker,20,Banker,Win,616.0,2
18,Player,10,Banker,Loss,606.0,1
19,Banker,20,Player,Loss,586.0,2
20,Player,40,Player,Win,626.0,3
21,Player,10,Banker,Loss,616.0,1
22,Banker,20,Banker,Win,635.0,2
23,Player,10,Tie,Push,635.0,1
24,Player,10,Player,Win,645.0,1
25,Player,10,Banker,Loss,635.0,1
26,Banker,20,Banker,Win,654.0,2
27,Player,10,Player,Win,664.0,1
28,Player,10,Banker,Loss,654.0,1
29,Banker,20,Banker,Win,673.0,2
30,Player,10,Banker,Loss,663.0,1
31,Banker,20,Player,Loss,643.0,2
32,Player,40,Player,Win,683.0,3
33,Player,10,Player,Win,693.0,1
34,Player,10,Player,Win,703.0,1
35,Player,10,Banker,Loss,693.0,1
36,Banker,20,Banker,Win,712.0,2
37,Player,10,Player,Win,722.0,1
38,Player,10,Banker,Loss,712.0,1
39,Banker,20,Player,Loss,692.0,2
40,Player,40,Player,Win,732.0,3
41,Player,10,Tie,Push,732.0,1
42,Player,10,Banker,Loss,722.0,1
43,Banker,20,Banker,Win,741.0,2
44,Player,10,Banker,Loss,731.0,1
45,Banker,20,Player,Loss,711.0,2
46,Player,40,Player,Win,751.0,3
47,Player,10,Player,Win,761.0,1
48,Player,10,Player,Win,771.0,1
49,Player,10,Banker,Loss,761.0,1
50,Banker,20,Banker,Win,780.0,2
51,Player,10,Player,Win,790.0,1
52,Player,10,Player,Win,800.0,1
53,Player,10,Player,Win,810.0,1
54,Player,10,Player,Win,820.0,1
55,Player,10,Banker,Loss,810.0,1
56,Banker,20,Banker,Win,829.0,2
57,Player,10,Player,Win,839.0,1
58,Player,10,Banker,Loss,829.0,1
59,Banker,20,Banker,Win,848.0,2
60,Player,10,Banker,Loss,838.0,1
61,Banker,20,Banker,Win,857.0,2
