Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,5,Player,Win,505.0,1
2,Player,5,Player,Win,510.0,1
3,Player,5,Banker,Loss,505.0,1
4,Banker,10,Banker,Win,514.5,2
5,Player,5,Banker,Loss,509.5,1
6,Banker,10,Banker,Win,519.0,2
7,Player,5,Player,Win,524.0,1
8,Player,5,Player,Win,529.0,1
9,Player,5,Banker,Loss,524.0,1
10,Banker,10,Player,Loss,514.0,2
11,Player,20,Banker,Loss,494.0,3
12,Player,40,Player,Win,534.0,4
13,Player,5,Tie,Push,534.0,1
14,Player,5,Player,Win,539.0,1
15,Player,5,Banker,Loss,534.0,1
16,Banker,10,Player,Loss,524.0,2
17,Player,20,Tie,Push,524.0,3
18,Player,20,Player,Win,544.0,3
19,Player,5,Banker,Loss,539.0,1
20,Banker,10,Banker,Win,548.5,2
21,Player,5,Tie,Push,548.5,1
22,Player,5,Banker,Loss,543.5,1
23,Banker,10,Player,Loss,533.5,2
24,Player,20,Player,Win,553.5,3
25,Player,5,Player,Win,558.5,1
26,Player,5,Player,Win,563.5,1
27,Player,5,Banker,Loss,558.5,1
28,Banker,10,Player,Loss,548.5,2
29,Player,20,Banker,Loss,528.5,3
30,Player,40,Player,Win,568.5,4
31,Player,5,Banker,Loss,563.5,1
32,Banker,10,Player,Loss,553.5,2
33,Player,20,Banker,Loss,533.5,3
34,Player,40,Player,Win,573.5,4
35,Player,5,Player,Win,578.5,1
36,Player,5,Banker,Loss,573.5,1
37,Banker,10,Player,Loss,563.5,2
38,Player,20,Player,Win,583.5,3
39,Player,5,Banker,Loss,578.5,1
40,Banker,10,Player,Loss,568.5,2
41,Player,20,Player,Win,588.5,3
42,Player,5,Banker,Loss,583.5,1
43,Banker,10,Banker,Win,593.0,2
44,Player,5,Banker,Loss,588.0,1
45,Banker,10,Player,Loss,578.0,2
46,Player,20,Banker,Loss,558.0,3
47,Player,40,Player,Win,598.0,4
48,Player,5,Banker,Loss,593.0,1
49,Banker,10,Player,Loss,583.0,2
50,Player,20,Player,Win,603.0,3
51,Player,5,Player,Win,608.0,1
52,Player,5,Banker,Loss,603.0,1
53,Banker,10,Player,Loss,593.0,2
54,Player,20,Player,Win,613.0,3
55,Player,5,Player,Win,618.0,1
56,Player,5,Banker,Loss,613.0,1
57,Banker,10,Player,Loss,603.0,2
58,Player,20,Banker,Loss,583.0,3
59,Player,40,Banker,Loss,543.0,4
60,Banker,80,Banker,Win,619.0,5
